structure	structure_verbose	grew_pattern_sud	grew_pattern_ud
没 + 有 (+ Obj.)	"Negation of ""you"" with ""mei"""	pattern { GOV -[mod]-> DEP; GOV.form = "有"; DEP.form = "没" }	pattern {  }
Subj. + 不 + Verb + Obj.	"Standard negation with ""bu"""	pattern { GOV -[mod]-> DEP; GOV[upos = VERB|AUX]; DEP.form = "不"; GOV -[1=comp]-> OBJ; OBJ>>GOV }	pattern {  }
Subj. + 不 + Adj.	"Standard negation with ""bu"""	pattern { ADJ -[mod]-> BU; ADJ[upos = ADJ]; BU[form = "不"]; ADJ-[subj]->SUBJ }	pattern {  }
Subj. + 都 + [Verb Phrase]	"The ""all"" adverb ""dou"""	pattern { TODO }	pattern {  }
Subj. + 也 + Verb / [Verb Phrase]	"The ""also"" adverb ""ye"""	pattern { YE[form="也"]; PRED -[mod]-> YE; PRED -[subj]-> SUBJ; PRED[upos=VERB|AUX] }	pattern {  }
Subj. + 也 (+ Adv.) + Adj.	"The ""also"" adverb ""ye"""	pattern { YE[form="也"]; PRED -[mod]-> YE; PRED -[subj]-> SUBJ; PRED[upos=ADJ] }	pattern {  }
Noun 1 + 和 + Noun 2	"Expressing ""and"" with ""he"""	pattern { HE[form="和", upos=CCONJ]; }	pattern {  }
Option A + 还是 + Option B ?	"Offering choices with ""haishi"""	pattern { HAI[form="还"]; SHI[form="是"]; HAI -> SHI; HAI -[deep=m]->SHI; HAI[upos=CCONJ]  }	pattern {  }
Subj. + Verb + Option A + 还是 + Option B ?	"Offering choices with ""haishi"""	pattern { VERB->OPTION1; VERB -[subj]->SUBJ; OPTION1->OPTION2; OPTION2->HAI;  HAI[form="还"]; SHI[form="是"]; HAI -> SHI; HAI -[deep=m]->SHI; HAI[upos=CCONJ] }	pattern {  }
Subj. + Number + 岁	"Age with ""sui"""	pattern { SUI [form="岁"]; SUI-[subj]->SUBJ; SUI-[mod]->NUM }	pattern {  }
Number + 个 + Noun	"Measure word ""ge"""	pattern { NOUN -[clf]->GE; GE[form="个"] }	pattern {  }
Verb + 个 + Noun	"Measure word ""ge"""	pattern { VERB-[1=comp]->NOUN ;NOUN -[clf]->GE; GE[form="个"] }	pattern {  }
